speciesid	SRR6154999	SRR6155000	SRR6155001	SRR6155002	SRR6155003	SRR6155004	SRR6155005	SRR6155006	SRR6155007	SRR6155008	SRR6155009	SRR6155010	SRR6155011	SRR6155012	SRR6155013	SRR5947117	SRR5947118	SRR5947119	SRR5947120	SRR5947121	SRR5947122	SRR5947123	SRR5947124	SRR5947125	SRR5947126	SRR5947127	SRR5947128	SRR5947129	SRR5947130	SRR5947131
116952	667	540	908	777	678	525	357	917	617	495	1322	928	869	656	1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146860	26491	10383	38726	19496	16653	18325	22104	30285	14847	9674	17478	30467	17457	13112	23116	353	295	95	176	139	127	554	320	218	87	293	70	382	151	187
100778	550	342	321	502	526	409	281	483	417	279	750	533	405	406	630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103419	524	267	352	481	455	363	246	383	436	268	820	561	495	453	648	0	0	0	0	0	0	0	0	17	0	35	12	16	0	0
109408	339	227	318	377	295	274	198	324	337	190	576	380	348	267	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124901	322	207	261	340	258	254	212	330	312	189	507	359	290	259	542	59	66	49	57	46	56	57	70	109	40	103	96	88	37	76
131028	322	206	177	253	287	185	198	237	231	163	462	271	249	243	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100448	2163	1267	1040	2079	1913	1415	1179	1673	1803	1102	2772	1930	1536	2161	2117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143004	1533	709	804	1251	1320	962	801	1073	1417	631	2281	1371	1068	1167	1579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128716	587	392	356	603	511	465	383	559	529	346	953	567	516	497	674	22	11	43	0	13	0	0	49	389	39	293	408	210	12	507
102471	657	404	377	700	570	469	384	493	526	385	1022	620	558	550	778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107521	694	559	498	709	739	631	489	699	599	449	1027	766	601	621	887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142784	515	364	319	519	532	501	295	504	504	378	841	578	459	449	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118385	470	281	272	402	387	360	260	435	470	309	798	421	404	383	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102729	533	254	270	550	473	382	274	429	456	244	977	558	549	461	634	296	370	280	264	406	365	211	625	373	903	511	1394	672	816	997
104682	553	389	513	758	562	746	393	677	909	340	996	799	853	706	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110772	440	248	232	446	372	349	276	328	360	254	649	498	392	398	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104941	516	505	347	484	446	447	398	489	425	362	818	503	471	428	508	0	13	0	14	0	0	22	17	0	20	20	29	21	0	20
130864	394	263	265	375	381	291	238	390	389	241	632	416	318	318	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105476	422	278	245	405	463	339	276	384	404	258	884	482	472	352	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100652	503	291	322	438	430	361	277	369	395	283	708	525	437	359	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107734	433	330	306	510	470	408	296	432	438	272	768	540	437	422	531	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
129877	229	182	154	217	223	196	187	230	253	163	343	290	235	210	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101923	282	186	155	257	228	214	132	233	139	163	372	293	217	188	355	97	111	167	126	122	116	123	173	445	166	329	270	538	66	168
111621	164	88	136	189	159	169	133	182	145	105	272	180	144	170	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117066	570	399	283	562	373	526	417	324	281	451	827	575	501	310	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119003	386	357	185	393	241	436	386	277	288	374	629	470	407	266	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115838	11761	9434	14276	10639	4049	17018	7971	14243	5035	6075	16085	15519	12313	4526	17925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113839	1095	976	1115	979	874	1326	781	1322	668	643	1545	1361	1088	633	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109604	369	270	395	328	244	412	288	478	272	212	552	490	368	261	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104547	255	178	245	276	151	284	162	287	184	180	408	370	290	193	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143623	73	51	52	93	44	61	44	83	75	44	140	102	77	53	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103752	625	312	366	568	620	340	323	428	391	264	827	555	488	560	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138239	412	365	365	400	437	409	241	376	365	279	682	432	379	435	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112774	386	200	232	423	336	287	230	294	290	209	648	374	436	298	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140577	760	555	638	882	845	662	578	927	850	541	1256	832	828	1055	1046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123230	613	440	477	588	585	474	374	615	510	345	898	625	580	517	799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105679	430	241	282	369	294	261	186	372	327	164	652	415	442	314	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104307	434	308	329	397	363	280	272	490	327	268	526	414	381	343	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107895	576	281	431	401	536	406	263	410	328	239	782	472	591	455	474	0	0	30	0	43	31	0	24	35	47	41	36	29	0	17
102515	497	290	252	502	442	392	263	415	432	382	839	458	515	374	540	0	0	0	0	0	0	0	24	25	19	30	26	35	0	0
116151	383	364	221	429	344	251	255	373	362	196	700	364	252	545	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115441	313	285	266	381	613	304	253	332	399	217	586	516	345	342	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107802	238	184	136	191	224	170	151	196	186	150	411	250	282	176	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141744	265	183	148	246	190	193	131	170	186	139	331	270	219	221	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101162	300	198	219	291	188	247	170	272	182	145	428	315	262	236	326	0	20	0	0	0	0	0	15	50	0	0	0	17	25	30
107234	327	171	208	321	331	206	191	261	264	181	457	357	314	212	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111675	328	179	257	362	355	205	191	246	250	211	544	318	336	290	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140380	215	112	156	177	136	160	119	161	146	98	344	267	254	166	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128145	167	94	99	141	108	103	92	129	98	75	228	143	123	106	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102928	392	168	193	291	307	171	178	256	186	163	350	279	294	296	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102501	257	233	245	263	224	241	178	257	228	160	399	313	286	195	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141526	159	126	117	136	115	122	78	177	119	77	211	184	122	103	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136152	168	91	106	125	134	123	96	122	146	87	303	168	181	118	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103554	209	180	212	305	298	186	153	253	243	175	474	366	315	213	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100905	281	189	210	285	280	201	146	284	240	183	479	291	276	253	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114737	180	111	117	199	166	159	109	187	126	98	263	180	150	121	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105447	249	118	142	263	195	154	115	155	146	120	343	237	171	137	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100488	532	341	421	644	510	500	352	475	480	432	1452	633	785	505	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127962	132	83	86	166	136	134	85	102	117	68	189	143	131	119	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107013	268	135	196	307	298	267	174	326	391	188	734	395	430	346	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100374	242	144	210	262	233	210	123	251	210	135	392	339	270	277	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100392	155	148	156	162	153	184	121	211	175	152	230	195	178	119	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116297	131	75	85	77	116	79	70	141	113	75	170	116	103	99	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129505	182	94	121	202	132	200	97	151	155	108	318	215	206	146	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104989	141	61	65	129	117	76	78	94	87	101	190	130	105	108	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104922	152	124	93	204	138	126	125	142	138	111	278	171	174	128	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101742	147	103	89	168	131	121	88	164	134	119	249	160	186	168	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102353	108	85	101	147	125	155	87	127	140	100	248	195	158	153	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144116	1258	833	880	1275	1142	763	760	1246	1062	740	1928	1284	1166	1226	1496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100838	954	644	660	938	797	517	538	880	740	468	1495	1022	951	779	1592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113453	607	324	318	624	452	358	357	430	433	311	981	578	559	506	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115819	507	311	299	528	400	337	261	472	430	323	901	597	599	431	904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101909	714	450	494	748	723	469	362	606	478	481	1146	916	735	765	1431	70	95	76	122	57	147	91	156	73	30	60	72	43	74	33
128879	687	460	498	585	556	403	358	577	455	376	1095	708	697	600	1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105297	720	578	623	917	825	718	588	1666	1932	597	1565	1174	938	844	1411	0	0	0	0	0	0	0	14	17	0	26	0	16	0	16
113641	413	247	286	387	323	271	275	358	314	244	618	402	387	344	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101594	1248	827	1028	1044	1172	1141	964	1104	910	589	1570	1180	940	922	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104277	849	486	353	1114	460	473	336	468	477	301	907	686	667	437	820	191	69	114	206	476	235	54	270	173	386	259	470	213	181	290
102531	541	381	374	511	426	407	288	466	402	298	790	561	443	531	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107396	461	343	383	422	426	397	261	471	402	377	791	503	459	423	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105402	307	194	244	274	258	247	218	266	273	197	438	361	302	291	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128748	416	197	204	278	314	270	250	302	180	200	639	375	308	229	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103211	360	239	246	321	303	264	174	311	253	169	460	399	336	221	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142217	264	160	242	248	262	182	176	263	181	112	473	265	273	207	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101780	406	343	360	382	227	322	247	417	158	218	586	486	410	163	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
